,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
0,Afghanistan,AFG,2021-05-11,504502.0,448878.0,55624.0,12,40374668.0,1.1117812783005423
1,Afghanistan,AFG,2021-05-20,547901.0,470341.0,77560.0,10,40374668.0,1.1649408485538506
2,Afghanistan,AFG,2021-05-24,573277.0,476367.0,96910.0,10,40374668.0,1.1798660486818122
3,Afghanistan,AFG,2021-05-26,590454.0,479372.0,111082.0,19,40374668.0,1.1873088343413745
4,Afghanistan,AFG,2021-05-27,593313.0,479574.0,113739.0,14,40374668.0,1.1878091480529327
5,Afghanistan,AFG,2021-05-30,600152.0,480226.0,119926.0,20,40374668.0,1.1894240220130108
6,Afghanistan,AFG,2021-06-02,626290.0,481690.0,144600.0,34,40374668.0,1.1930500580215297
7,Afghanistan,AFG,2021-06-03,630305.0,481800.0,148505.0,27,40374668.0,1.1933225060822792
8,Afghanistan,AFG,2021-06-08,641295.0,482952.0,158343.0,64,40374668.0,1.1961757803184907
9,Afghanistan,AFG,2021-06-14,662003.0,484737.0,177266.0,85,40374668.0,1.2005968693042874
10,Afghanistan,AFG,2021-06-22,765890.0,582128.0,183762.0,78,40374668.0,1.4418149518901306
11,Afghanistan,AFG,2021-06-27,835694.0,649434.0,186260.0,56,40374668.0,1.608518489861019
12,Afghanistan,AFG,2021-06-30,886854.0,699200.0,187654.0,77,40374668.0,1.7317789461451423
13,Afghanistan,AFG,2021-07-05,915671.0,726349.0,189322.0,84,40374668.0,1.7990216043386413
14,Afghanistan,AFG,2021-07-07,934463.0,735213.0,199250.0,55,40374668.0,1.8209759644339365
15,Afghanistan,AFG,2021-07-11,962093.0,742934.0,219159.0,86,40374668.0,1.840099341497991
16,Afghanistan,AFG,2021-08-20,1201286.0,770542.0,430744.0,7,40374668.0,1.9084788511449804
17,Afghanistan,AFG,2021-11-14,4018197.0,3530173.0,3188609.0,0,40374668.0,8.743534435998335
18,Afghanistan,AFG,2021-12-27,4674518.0,4142857.0,3753224.0,2,40374668.0,10.261030505563538
